Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v2/user,7856,0,110.0,118.5304382764643,100.3591000007873,519.677899999806,48.0,23.227745769604056,0.0,110,110,120,120,120,120,430,450,510,520,520
DELETE,/v2/user/denemekullanici,8091,4133,110.0,118.90699272029713,100.75510000024224,531.4568000003419,27.883574341861326,23.922567594433097,12.219994051142256,110,110,120,120,120,120,430,450,500,530,530
GET,/v2/user/denemekullanici,8087,4046,110.0,120.12748435760923,100.99819999959436,521.6844000005949,116.46012118214418,23.91074083996792,11.962762141524696,110,110,120,120,120,120,430,450,500,520,520
PUT,/v2/user/denemekullanici,8035,0,110.0,120.45233249533915,100.77739999996993,522.9110000000219,47.0,23.756993031920643,0.0,110,110,120,120,120,120,440,460,510,520,520
,Aggregated,32069,8179,110.0,119.50971526395736,100.3591000007873,531.4568000003419,59.93800866880788,94.81804723592572,24.18275619266695,110,110,120,120,120,120,430,450,500,520,530
